caseid,label,name,order,timestamp
1,normal,Activity A,1,
1,normal,Activity AT,2,
1,normal,Activity AY,3,
1,normal,Activity AZ,4,
1,normal,Activity BA,5,
1,normal,Activity BB,6,
1,normal,Activity AU,7,
1,normal,Activity B,8,
2,normal,Activity A,1,
2,normal,Activity AT,2,
2,normal,Activity AY,3,
2,normal,Activity AZ,4,
2,normal,Activity BA,5,
2,normal,Activity BB,6,
2,normal,Activity AU,7,
2,normal,Activity B,8,
3,normal,Activity A,1,
3,normal,Activity AI,2,
3,normal,Activity AP,3,
3,normal,Activity AQ,4,
3,normal,Activity AR,5,
3,normal,Activity AS,6,
3,normal,Activity AJ,7,
3,normal,Activity B,8,
4,normal,Activity A,1,
4,normal,Activity AT,2,
4,normal,Activity AV,3,
4,normal,Activity AW,4,
4,normal,Activity AU,5,
4,normal,Activity B,6,
5,normal,Activity A,1,
5,normal,Activity AT,2,
5,normal,Activity AV,3,
5,normal,Activity AW,4,
5,normal,Activity AU,5,
5,normal,Activity B,6,
6,normal,Activity A,1,
6,normal,Activity AI,2,
6,normal,Activity AK,3,
6,normal,Activity AJ,4,
6,normal,Activity B,5,
7,"{'anomaly': 'Insert', 'attr': {'indices': [3, 5]}}",Activity A,1,
7,"{'anomaly': 'Insert', 'attr': {'indices': [3, 5]}}",Activity AT,2,
7,"{'anomaly': 'Insert', 'attr': {'indices': [3, 5]}}",Activity AV,3,
7,"{'anomaly': 'Insert', 'attr': {'indices': [3, 5]}}",Random activity 49,4,
7,"{'anomaly': 'Insert', 'attr': {'indices': [3, 5]}}",Activity AW,5,
7,"{'anomaly': 'Insert', 'attr': {'indices': [3, 5]}}",Random activity 12,6,
7,"{'anomaly': 'Insert', 'attr': {'indices': [3, 5]}}",Activity AU,7,
7,"{'anomaly': 'Insert', 'attr': {'indices': [3, 5]}}",Activity B,8,
8,normal,Activity A,1,
8,normal,Activity AT,2,
8,normal,Activity AV,3,
8,normal,Activity AW,4,
8,normal,Activity AU,5,
8,normal,Activity B,6,
9,normal,Activity A,1,
9,normal,Activity AI,2,
9,normal,Activity AK,3,
9,normal,Activity AJ,4,
9,normal,Activity B,5,
10,normal,Activity A,1,
10,normal,Activity AT,2,
10,normal,Activity AV,3,
10,normal,Activity AW,4,
10,normal,Activity AU,5,
10,normal,Activity B,6,
11,normal,Activity A,1,
11,normal,Activity AI,2,
11,normal,Activity AP,3,
11,normal,Activity AQ,4,
11,normal,Activity AR,5,
11,normal,Activity AS,6,
11,normal,Activity AJ,7,
11,normal,Activity B,8,
12,normal,Activity A,1,
12,normal,Activity AI,2,
12,normal,Activity AK,3,
12,normal,Activity AJ,4,
12,normal,Activity B,5,
13,normal,Activity A,1,
13,normal,Activity AT,2,
13,normal,Activity AV,3,
13,normal,Activity AW,4,
13,normal,Activity AU,5,
13,normal,Activity B,6,
14,normal,Activity A,1,
14,normal,Activity AI,2,
14,normal,Activity AK,3,
14,normal,Activity AJ,4,
14,normal,Activity B,5,
15,normal,Activity A,1,
15,normal,Activity AI,2,
15,normal,Activity AK,3,
15,normal,Activity AJ,4,
15,normal,Activity B,5,
16,normal,Activity A,1,
16,normal,Activity AT,2,
16,normal,Activity AY,3,
16,normal,Activity AZ,4,
16,normal,Activity BA,5,
16,normal,Activity BB,6,
16,normal,Activity AU,7,
16,normal,Activity B,8,
17,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity AI', 'timestamp': None}, {'attributes': {}, 'name': 'Activity AP', 'timestamp': None}, {'attributes': {}, 'name': 'Activity AQ', 'timestamp': None}], 'size': 3, 'start': 5}}",Activity A,1,
17,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity AI', 'timestamp': None}, {'attributes': {}, 'name': 'Activity AP', 'timestamp': None}, {'attributes': {}, 'name': 'Activity AQ', 'timestamp': None}], 'size': 3, 'start': 5}}",Activity AI,2,
17,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity AI', 'timestamp': None}, {'attributes': {}, 'name': 'Activity AP', 'timestamp': None}, {'attributes': {}, 'name': 'Activity AQ', 'timestamp': None}], 'size': 3, 'start': 5}}",Activity AP,3,
17,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity AI', 'timestamp': None}, {'attributes': {}, 'name': 'Activity AP', 'timestamp': None}, {'attributes': {}, 'name': 'Activity AQ', 'timestamp': None}], 'size': 3, 'start': 5}}",Activity AQ,4,
