caseid,label,name,order,timestamp
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity A,1,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity C,2,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity D,3,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity E,4,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity G,5,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity F,6,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Random activity 16,7,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity I,8,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity O,9,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity P,10,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity J,11,
1,"{'anomaly': 'Insert', 'attr': {'indices': [6]}}",Activity B,12,
2,normal,Activity A,1,
2,normal,Activity C,2,
2,normal,Activity D,3,
2,normal,Activity E,4,
2,normal,Activity G,5,
2,normal,Activity F,6,
2,normal,Activity I,7,
2,normal,Activity O,8,
2,normal,Activity P,9,
2,normal,Activity J,10,
2,normal,Activity B,11,
3,normal,Activity A,1,
3,normal,Activity C,2,
3,normal,Activity D,3,
3,normal,Activity E,4,
3,normal,Activity G,5,
3,normal,Activity F,6,
3,normal,Activity I,7,
3,normal,Activity O,8,
3,normal,Activity P,9,
3,normal,Activity J,10,
3,normal,Activity B,11,
4,normal,Activity A,1,
4,normal,Activity C,2,
4,normal,Activity D,3,
4,normal,Activity E,4,
4,normal,Activity G,5,
4,normal,Activity F,6,
4,normal,Activity I,7,
4,normal,Activity O,8,
4,normal,Activity P,9,
4,normal,Activity J,10,
4,normal,Activity B,11,
5,normal,Activity A,1,
5,normal,Activity AB,2,
5,normal,Activity AD,3,
5,normal,Activity AC,4,
5,normal,Activity AG,5,
5,normal,Activity AI,6,
5,normal,Activity AH,7,
5,normal,Activity AL,8,
5,normal,Activity AO,9,
5,normal,Activity AM,10,
5,normal,Activity AP,11,
5,normal,Activity B,12,
6,normal,Activity A,1,
6,normal,Activity AB,2,
6,normal,Activity AE,3,
6,normal,Activity AC,4,
6,normal,Activity AG,5,
6,normal,Activity AI,6,
6,normal,Activity AH,7,
6,normal,Activity AL,8,
6,normal,Activity AO,9,
6,normal,Activity AM,10,
6,normal,Activity AP,11,
6,normal,Activity B,12,
7,normal,Activity A,1,
7,normal,Activity AB,2,
7,normal,Activity AE,3,
7,normal,Activity AC,4,
7,normal,Activity AG,5,
7,normal,Activity AI,6,
7,normal,Activity AH,7,
7,normal,Activity AL,8,
7,normal,Activity AO,9,
7,normal,Activity AM,10,
7,normal,Activity AP,11,
7,normal,Activity B,12,
8,normal,Activity A,1,
8,normal,Activity AB,2,
8,normal,Activity AD,3,
8,normal,Activity AC,4,
8,normal,Activity AG,5,
8,normal,Activity AI,6,
8,normal,Activity AH,7,
8,normal,Activity AL,8,
8,normal,Activity AO,9,
8,normal,Activity AM,10,
8,normal,Activity AP,11,
8,normal,Activity B,12,
9,normal,Activity A,1,
9,normal,Activity C,2,
9,normal,Activity D,3,
9,normal,Activity E,4,
9,normal,Activity H,5,
9,normal,Activity F,6,
9,normal,Activity I,7,
9,normal,Activity O,8,
9,normal,Activity P,9,
9,normal,Activity J,10,
9,normal,Activity B,11,
10,normal,Activity A,1,
10,normal,Activity C,2,
10,normal,Activity D,3,
10,normal,Activity E,4,
10,normal,Activity G,5,
10,normal,Activity F,6,
10,normal,Activity I,7,
10,normal,Activity O,8,
10,normal,Activity P,9,
10,normal,Activity J,10,
10,normal,Activity B,11,
11,normal,Activity A,1,
11,normal,Activity AB,2,
11,normal,Activity AD,3,
11,normal,Activity AC,4,
11,normal,Activity AG,5,
11,normal,Activity AI,6,
11,normal,Activity AH,7,
11,normal,Activity AL,8,
11,normal,Activity AN,9,
11,normal,Activity AM,10,
11,normal,Activity AP,11,
11,normal,Activity B,12,
12,normal,Activity A,1,
12,normal,Activity C,2,
12,normal,Activity D,3,
12,normal,Activity E,4,
12,normal,Activity G,5,
12,normal,Activity F,6,
12,normal,Activity I,7,
12,normal,Activity O,8,
12,normal,Activity P,9,
12,normal,Activity J,10,
12,normal,Activity B,11,
13,normal,Activity A,1,
13,normal,Activity C,2,
13,normal,Activity D,3,
13,normal,Activity E,4,
13,normal,Activity G,5,
13,normal,Activity F,6,
13,normal,Activity I,7,
13,normal,Activity M,8,
13,normal,Activity N,9,
13,normal,Activity J,10,
13,normal,Activity B,11,
14,normal,Activity A,1,
14,normal,Activity Q,2,
14,normal,Activity R,3,
14,normal,Activity S,4,
14,normal,Activity T,5,
14,normal,Activity U,6,
14,normal,Activity V,7,
14,normal,Activity Y,8,
14,normal,Activity W,9,
14,normal,Activity B,10,
15,normal,Activity A,1,
15,normal,Activity C,2,
15,normal,Activity D,3,
15,normal,Activity E,4,
15,normal,Activity G,5,
15,normal,Activity F,6,
15,normal,Activity I,7,
15,normal,Activity O,8,
15,normal,Activity P,9,
15,normal,Activity J,10,
15,normal,Activity B,11,
16,normal,Activity A,1,
16,normal,Activity C,2,
16,normal,Activity D,3,
16,normal,Activity E,4,
16,normal,Activity H,5,
16,normal,Activity F,6,
16,normal,Activity I,7,
16,normal,Activity O,8,
16,normal,Activity P,9,
16,normal,Activity J,10,
16,normal,Activity B,11,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity A,1,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity Q,2,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity R,3,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Random activity 40,4,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity S,5,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity T,6,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity U,7,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity V,8,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity AA,9,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity W,10,
17,"{'anomaly': 'Insert', 'attr': {'indices': [3]}}",Activity B,11,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity A,1,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity C,2,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity D,3,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity E,4,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity H,5,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity I,6,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity M,7,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity N,8,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity J,9,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity F,10,
18,"{'anomaly': 'Late', 'attr': {'shift_from': 5, 'shift_to': 9, 'size': 1}}",Activity B,11,
19,normal,Activity A,1,
19,normal,Activity C,2,
19,normal,Activity D,3,
19,normal,Activity E,4,
19,normal,Activity G,5,
19,normal,Activity F,6,
19,normal,Activity I,7,
19,normal,Activity M,8,
19,normal,Activity N,9,
19,normal,Activity J,10,
19,normal,Activity B,11,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity A,1,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity C,2,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity D,3,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity E,4,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity G,5,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity F,6,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity I,7,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity K,8,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity G,9,
20,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity G', 'timestamp': None}, {'attributes': {}, 'name': 'Activity F', 'timestamp': None}], 'size': 2, 'start': 8}}",Activity F,10,
