caseid,label,name,order,timestamp
1,normal,Activity A,1,
1,normal,Activity Z,2,
1,normal,Activity AA,3,
1,normal,Activity AF,4,
1,normal,Activity AB,5,
1,normal,Activity B,6,
2,"{'anomaly': 'Insert', 'attr': {'indices': [1, 5]}}",Activity A,1,
2,"{'anomaly': 'Insert', 'attr': {'indices': [1, 5]}}",Random activity 27,2,
2,"{'anomaly': 'Insert', 'attr': {'indices': [1, 5]}}",Activity Z,3,
2,"{'anomaly': 'Insert', 'attr': {'indices': [1, 5]}}",Activity AA,4,
2,"{'anomaly': 'Insert', 'attr': {'indices': [1, 5]}}",Activity AC,5,
2,"{'anomaly': 'Insert', 'attr': {'indices': [1, 5]}}",Random activity 14,6,
2,"{'anomaly': 'Insert', 'attr': {'indices': [1, 5]}}",Activity AB,7,
2,"{'anomaly': 'Insert', 'attr': {'indices': [1, 5]}}",Activity B,8,
3,normal,Activity A,1,
3,normal,Activity Y,2,
3,normal,Activity B,3,
4,normal,Activity A,1,
4,normal,Activity Z,2,
4,normal,Activity AA,3,
4,normal,Activity AF,4,
4,normal,Activity AB,5,
4,normal,Activity B,6,
5,normal,Activity A,1,
5,normal,Activity O,2,
5,normal,Activity S,3,
5,normal,Activity T,4,
5,normal,Activity P,5,
5,normal,Activity B,6,
6,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity P', 'timestamp': None}, {'attributes': {}, 'name': 'Activity B', 'timestamp': None}], 'size': 2, 'start': 6}}",Activity A,1,
6,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity P', 'timestamp': None}, {'attributes': {}, 'name': 'Activity B', 'timestamp': None}], 'size': 2, 'start': 6}}",Activity O,2,
6,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity P', 'timestamp': None}, {'attributes': {}, 'name': 'Activity B', 'timestamp': None}], 'size': 2, 'start': 6}}",Activity S,3,
6,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity P', 'timestamp': None}, {'attributes': {}, 'name': 'Activity B', 'timestamp': None}], 'size': 2, 'start': 6}}",Activity T,4,
6,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity P', 'timestamp': None}, {'attributes': {}, 'name': 'Activity B', 'timestamp': None}], 'size': 2, 'start': 6}}",Activity P,5,
6,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity P', 'timestamp': None}, {'attributes': {}, 'name': 'Activity B', 'timestamp': None}], 'size': 2, 'start': 6}}",Activity B,6,
6,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity P', 'timestamp': None}, {'attributes': {}, 'name': 'Activity B', 'timestamp': None}], 'size': 2, 'start': 6}}",Activity P,7,
6,"{'anomaly': 'Rework', 'attr': {'inserted': [{'attributes': {}, 'name': 'Activity P', 'timestamp': None}, {'attributes': {}, 'name': 'Activity B', 'timestamp': None}], 'size': 2, 'start': 6}}",Activity B,8,
7,"{'anomaly': 'SkipSequence', 'attr': {'size': 1, 'skipped': [{'attributes': {}, 'name': 'Activity A', 'timestamp': None}], 'start': 0}}",Activity Y,1,
7,"{'anomaly': 'SkipSequence', 'attr': {'size': 1, 'skipped': [{'attributes': {}, 'name': 'Activity A', 'timestamp': None}], 'start': 0}}",Activity B,2,
8,normal,Activity A,1,
8,normal,Activity C,2,
8,normal,Activity H,3,
8,normal,Activity D,4,
8,normal,Activity I,5,
8,normal,Activity L,6,
8,normal,Activity J,7,
8,normal,Activity B,8,
9,normal,Activity A,1,
9,normal,Activity Z,2,
9,normal,Activity AA,3,
9,normal,Activity AE,4,
9,normal,Activity AB,5,
9,normal,Activity B,6,
10,"{'anomaly': 'Late', 'attr': {'shift_from': 3, 'shift_to': 5, 'size': 1}}",Activity A,1,
10,"{'anomaly': 'Late', 'attr': {'shift_from': 3, 'shift_to': 5, 'size': 1}}",Activity C,2,
10,"{'anomaly': 'Late', 'attr': {'shift_from': 3, 'shift_to': 5, 'size': 1}}",Activity G,3,
10,"{'anomaly': 'Late', 'attr': {'shift_from': 3, 'shift_to': 5, 'size': 1}}",Activity I,4,
10,"{'anomaly': 'Late', 'attr': {'shift_from': 3, 'shift_to': 5, 'size': 1}}",Activity K,5,
10,"{'anomaly': 'Late', 'attr': {'shift_from': 3, 'shift_to': 5, 'size': 1}}",Activity D,6,
10,"{'anomaly': 'Late', 'attr': {'shift_from': 3, 'shift_to': 5, 'size': 1}}",Activity J,7,
10,"{'anomaly': 'Late', 'attr': {'shift_from': 3, 'shift_to': 5, 'size': 1}}",Activity B,8,
11,normal,Activity A,1,
11,normal,Activity O,2,
11,normal,Activity U,3,
11,normal,Activity X,4,
11,normal,Activity V,5,
11,normal,Activity P,6,
11,normal,Activity B,7,
12,normal,Activity A,1,
12,normal,Activity Y,2,
12,normal,Activity B,3,
13,normal,Activity A,1,
13,normal,Activity Z,2,
13,normal,Activity AA,3,
13,normal,Activity AC,4,
13,normal,Activity AB,5,
13,normal,Activity B,6,
14,normal,Activity A,1,
14,normal,Activity Z,2,
14,normal,Activity AA,3,
14,normal,Activity AC,4,
14,normal,Activity AB,5,
14,normal,Activity B,6,
15,normal,Activity A,1,
15,normal,Activity Z,2,
15,normal,Activity AA,3,
15,normal,Activity AE,4,
15,normal,Activity AB,5,
15,normal,Activity B,6,
16,"{'anomaly': 'SkipSequence', 'attr': {'size': 2, 'skipped': [{'attributes': {}, 'name': 'Activity A', 'timestamp': None}, {'attributes': {}, 'name': 'Activity Y', 'timestamp': None}], 'start': 0}}",Activity B,1,
17,normal,Activity A,1,
17,normal,Activity Z,2,
17,normal,Activity AA,3,
17,normal,Activity AD,4,
17,normal,Activity AB,5,
17,normal,Activity B,6,
18,normal,Activity A,1,
18,normal,Activity O,2,
18,normal,Activity Q,3,
18,normal,Activity R,4,
18,normal,Activity P,5,
18,normal,Activity B,6,
