caseid,label,name,order,timestamp
1,normal,Activity A,1,
1,normal,Activity B,2,
1,normal,Activity C,3,
1,normal,Activity D,4,
1,normal,Activity E,5,
1,normal,Activity T,6,
1,normal,Activity F,7,
2,"{'anomaly': 'Late', 'attr': {'shift_from': 2, 'shift_to': 3, 'size': 2}}",Activity A,1,
2,"{'anomaly': 'Late', 'attr': {'shift_from': 2, 'shift_to': 3, 'size': 2}}",Activity B,2,
2,"{'anomaly': 'Late', 'attr': {'shift_from': 2, 'shift_to': 3, 'size': 2}}",Activity E,3,
2,"{'anomaly': 'Late', 'attr': {'shift_from': 2, 'shift_to': 3, 'size': 2}}",Activity C,4,
2,"{'anomaly': 'Late', 'attr': {'shift_from': 2, 'shift_to': 3, 'size': 2}}",Activity D,5,
2,"{'anomaly': 'Late', 'attr': {'shift_from': 2, 'shift_to': 3, 'size': 2}}",Activity T,6,
2,"{'anomaly': 'Late', 'attr': {'shift_from': 2, 'shift_to': 3, 'size': 2}}",Activity F,7,
3,normal,Activity A,1,
3,normal,Activity B,2,
3,normal,Activity C,3,
3,normal,Activity D,4,
3,normal,Activity E,5,
3,normal,Activity T,6,
3,normal,Activity F,7,
4,normal,Activity A,1,
4,normal,Activity B,2,
4,normal,Activity C,3,
4,normal,Activity D,4,
4,normal,Activity E,5,
4,normal,Activity K,6,
4,normal,Activity R,7,
4,normal,Activity S,8,
4,normal,Activity L,9,
4,normal,Activity F,10,
5,"{'anomaly': 'Insert', 'attr': {'indices': [1]}}",Activity A,1,
5,"{'anomaly': 'Insert', 'attr': {'indices': [1]}}",Random activity 11,2,
5,"{'anomaly': 'Insert', 'attr': {'indices': [1]}}",Activity B,3,
5,"{'anomaly': 'Insert', 'attr': {'indices': [1]}}",Activity C,4,
5,"{'anomaly': 'Insert', 'attr': {'indices': [1]}}",Activity D,5,
5,"{'anomaly': 'Insert', 'attr': {'indices': [1]}}",Activity E,6,
5,"{'anomaly': 'Insert', 'attr': {'indices': [1]}}",Activity T,7,
5,"{'anomaly': 'Insert', 'attr': {'indices': [1]}}",Activity F,8,
6,normal,Activity A,1,
6,normal,Activity B,2,
6,normal,Activity C,3,
6,normal,Activity D,4,
6,normal,Activity E,5,
6,normal,Activity T,6,
6,normal,Activity F,7,
