caseid,concept:name,label,name,order,timestamp
1-109135791,1-109135791,"{'anomaly': 'Early', 'attr': {'shift_from': 4, 'shift_to': 0, 'size': 1}}",Accepted+In Progress,1,2012-03-15T12:09:05+01:00
1-109135791,1-109135791,"{'anomaly': 'Early', 'attr': {'shift_from': 4, 'shift_to': 0, 'size': 1}}",Queued+Awaiting Assignment,2,2006-01-11T15:49:42+01:00
1-109135791,1-109135791,"{'anomaly': 'Early', 'attr': {'shift_from': 4, 'shift_to': 0, 'size': 1}}",Accepted+In Progress,3,2012-03-15T11:53:52+01:00
1-109135791,1-109135791,"{'anomaly': 'Early', 'attr': {'shift_from': 4, 'shift_to': 0, 'size': 1}}",Accepted+Assigned,4,2012-03-15T11:56:17+01:00
1-109135791,1-109135791,"{'anomaly': 'Early', 'attr': {'shift_from': 4, 'shift_to': 0, 'size': 1}}",Completed+Closed,5,2012-03-15T12:11:33+01:00
1-147898401,1-147898401,normal,Accepted+In Progress,1,2006-11-07T10:00:36+01:00
1-147898401,1-147898401,normal,Accepted+In Progress,2,2006-11-07T13:05:44+01:00
1-147898401,1-147898401,normal,Accepted+Wait,3,2009-12-02T14:24:32+01:00
1-147898401,1-147898401,normal,Accepted+In Progress,4,2011-09-03T07:09:09+02:00
1-147898401,1-147898401,normal,Accepted+In Progress,5,2012-01-20T10:23:24+01:00
1-147898401,1-147898401,normal,Completed+Closed,6,2012-01-20T10:23:27+01:00
1-165554831,1-165554831,"{'anomaly': 'SkipSequence', 'attr': {'size': 1, 'skipped': [{'attributes': {'concept:name': 'Accepted', 'impact': 'Medium', 'lifecycle:transition': 'In Progress', 'org:group': 'Org line A2', 'org:resource': 'Tomas', 'org:role': 'A2_2', 'organization country': 'cn', 'organization involved': 'M1 2nd', 'product': 'PROD753', 'resource country': 'Sweden', 'time:timestamp': '2011-09-03T07:10:53+02:00'}, 'name': 'Accepted+In Progress', 'timestamp': '2011-09-03T07:10:53+02:00'}], 'start': 2}}",Accepted+In Progress,1,2007-03-20T09:06:25+01:00
1-165554831,1-165554831,"{'anomaly': 'SkipSequence', 'attr': {'size': 1, 'skipped': [{'attributes': {'concept:name': 'Accepted', 'impact': 'Medium', 'lifecycle:transition': 'In Progress', 'org:group': 'Org line A2', 'org:resource': 'Tomas', 'org:role': 'A2_2', 'organization country': 'cn', 'organization involved': 'M1 2nd', 'product': 'PROD753', 'resource country': 'Sweden', 'time:timestamp': '2011-09-03T07:10:53+02:00'}, 'name': 'Accepted+In Progress', 'timestamp': '2011-09-03T07:10:53+02:00'}], 'start': 2}}",Accepted+Wait,2,2009-12-02T14:24:31+01:00
1-165554831,1-165554831,"{'anomaly': 'SkipSequence', 'attr': {'size': 1, 'skipped': [{'attributes': {'concept:name': 'Accepted', 'impact': 'Medium', 'lifecycle:transition': 'In Progress', 'org:group': 'Org line A2', 'org:resource': 'Tomas', 'org:role': 'A2_2', 'organization country': 'cn', 'organization involved': 'M1 2nd', 'product': 'PROD753', 'resource country': 'Sweden', 'time:timestamp': '2011-09-03T07:10:53+02:00'}, 'name': 'Accepted+In Progress', 'timestamp': '2011-09-03T07:10:53+02:00'}], 'start': 2}}",Accepted+In Progress,3,2012-01-18T08:52:41+01:00
1-165554831,1-165554831,"{'anomaly': 'SkipSequence', 'attr': {'size': 1, 'skipped': [{'attributes': {'concept:name': 'Accepted', 'impact': 'Medium', 'lifecycle:transition': 'In Progress', 'org:group': 'Org line A2', 'org:resource': 'Tomas', 'org:role': 'A2_2', 'organization country': 'cn', 'organization involved': 'M1 2nd', 'product': 'PROD753', 'resource country': 'Sweden', 'time:timestamp': '2011-09-03T07:10:53+02:00'}, 'name': 'Accepted+In Progress', 'timestamp': '2011-09-03T07:10:53+02:00'}], 'start': 2}}",Completed+Closed,4,2012-01-18T08:52:43+01:00
1-172473423,1-172473423,"{'anomaly': 'Early', 'attr': {'shift_from': 3, 'shift_to': 1, 'size': 1}}",Accepted+In Progress,1,2007-05-10T16:21:54+02:00
1-172473423,1-172473423,"{'anomaly': 'Early', 'attr': {'shift_from': 3, 'shift_to': 1, 'size': 1}}",Accepted+In Progress,2,2011-09-03T07:10:59+02:00
1-172473423,1-172473423,"{'anomaly': 'Early', 'attr': {'shift_from': 3, 'shift_to': 1, 'size': 1}}",Accepted+Wait,3,2009-12-02T14:24:33+01:00
1-172473423,1-172473423,"{'anomaly': 'Early', 'attr': {'shift_from': 3, 'shift_to': 1, 'size': 1}}",Accepted+In Progress,4,2012-01-18T08:20:53+01:00
1-172473423,1-172473423,"{'anomaly': 'Early', 'attr': {'shift_from': 3, 'shift_to': 1, 'size': 1}}",Completed+Closed,5,2012-01-18T08:21:10+01:00
1-182640781,1-182640781,normal,Accepted+In Progress,1,2007-07-25T14:21:05+02:00
1-182640781,1-182640781,normal,Accepted+Wait,2,2009-12-02T14:24:32+01:00
1-182640781,1-182640781,normal,Queued+Awaiting Assignment,3,2010-08-25T11:13:01+02:00
1-182640781,1-182640781,normal,Accepted+In Progress,4,2011-09-05T09:24:13+02:00
1-182640781,1-182640781,normal,Accepted+Assigned,5,2011-11-14T16:10:25+01:00
1-182640781,1-182640781,normal,Accepted+In Progress,6,2012-01-03T11:30:35+01:00
1-182640781,1-182640781,normal,Completed+Closed,7,2012-01-03T11:31:53+01:00
1-230541365,1-230541365,normal,Accepted+In Progress,1,2008-05-07T18:58:51+02:00
1-230541365,1-230541365,normal,Accepted+In Progress,2,2008-10-06T16:44:37+02:00
1-230541365,1-230541365,normal,Accepted+Wait,3,2009-12-02T14:24:34+01:00
1-230541365,1-230541365,normal,Accepted+In Progress,4,2011-09-02T00:27:50+02:00
1-230541365,1-230541365,normal,Accepted+In Progress,5,2011-09-02T00:27:55+02:00
1-230541365,1-230541365,normal,Accepted+In Progress,6,2012-01-20T07:53:32+01:00
1-230541365,1-230541365,normal,Completed+Closed,7,2012-01-20T07:53:35+01:00
1-236817141,1-236817141,normal,Accepted+In Progress,1,2008-06-04T12:02:18+02:00
1-236817141,1-236817141,normal,Accepted+Wait,2,2009-12-02T14:24:34+01:00
1-236817141,1-236817141,normal,Queued+Awaiting Assignment,3,2010-08-25T11:06:45+02:00
1-236817141,1-236817141,normal,Accepted+In Progress,4,2011-09-03T08:02:11+02:00
1-236817141,1-236817141,normal,Accepted+Assigned,5,2011-11-14T16:09:27+01:00
1-236817141,1-236817141,normal,Accepted+In Progress,6,2012-01-05T14:08:18+01:00
1-236817141,1-236817141,normal,Completed+Closed,7,2012-01-05T14:09:00+01:00
